name	price	sum	quantity	paymentType	productType	nds	ndsSum	check	date	shop
Молоко 3,2% в бутылке,шт	80.75	80.75	1.0	4	1	2.0	734.0	7	2022-10-12 12:05:00	"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВКУСВИЛЛ"""
"Вафли ""Лимонные"",шт"	73.15	73.15	1.0	4	1	3.0	1219.0	7	2022-10-12 12:05:00	"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВКУСВИЛЛ"""
Снеки ягодно-фруктовые клубничные,шт	66.5	66.5	1.0	4	1	3.0	1108.0	7	2022-10-12 12:05:00	"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВКУСВИЛЛ"""
Улитка с маком	55.0	55.0	1.0	4	1			68	2022-10-13 09:07:00	"ООО ""УСПЕХ"""
Молоко 3,2% в бутылке,шт	80.75	80.75	1.0	4	1	2.0	734.0	30	2022-10-14 12:53:00	"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВКУСВИЛЛ"""
Снеки ягодно-фруктовые клубничные,шт	66.5	133.0	2.0	4	1	3.0	2217.0	30	2022-10-14 12:53:00	"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВКУСВИЛЛ"""
Палочки хрустящие с маком,шт	53.2	53.2	1.0	4	1	2.0		38	2022-10-14 19:06:00	"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВКУСВИЛЛ"""
Сухари для панировки пшеничные с отрубями,шт	38.0	38.0	1.0	4	1	2.0		38	2022-10-14 19:06:00	"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВКУСВИЛЛ"""
Пакеты для льда, 7*28 шт,шт	71.25	142.5	2.0	4	1	1.0		38	2022-10-14 19:06:00	"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВКУСВИЛЛ"""
"Карамель леденцовая ""Ассорти вкусов"",шт"	71.25	71.25	1.0	4	1	1.0		38	2022-10-14 19:06:00	"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВКУСВИЛЛ"""
#Влажные салфетки 20шт	24.99	74.97	3.0	4	1	1.0		146	2022-10-14 13:01:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА-М"""
#Пирожное Киндер 30г	46.99	93.98	2.0	4	1	1.0		146	2022-10-14 13:01:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА-М"""
#Влажные салфетки 20шт	24.99	74.97	3.0	4	1	1.0		146	2022-10-14 13:01:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА-М"""
#Пирожное Киндер 30г	46.99	93.98	2.0	4	1	1.0		146	2022-10-14 13:01:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА-М"""
#Влажные салфетки 20шт	24.99	74.97	3.0	4	1	1.0		146	2022-10-14 13:01:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА-М"""
#Пирожное Киндер 30г	46.99	93.98	2.0	4	1	1.0		146	2022-10-14 13:01:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА-М"""
#Влажные салфетки 20шт	24.99	74.97	3.0	4	1	1.0		146	2022-10-14 13:01:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА-М"""
#Пирожное Киндер 30г	46.99	93.98	2.0	4	1	1.0		146	2022-10-14 13:01:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА-М"""
#Влажные салфетки 20шт	24.99	74.97	3.0	4	1	1.0		146	2022-10-14 13:01:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА-М"""
#Пирожное Киндер 30г	46.99	93.98	2.0	4	1	1.0		146	2022-10-14 13:01:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА-М"""
#Влажные салфетки 20шт	24.99	74.97	3.0	4	1	1.0		146	2022-10-14 13:01:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА-М"""
#Пирожное Киндер 30г	46.99	93.98	2.0	4	1	1.0		146	2022-10-14 13:01:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА-М"""
#Влажные салфетки 20шт	24.99	74.97	3.0	4	1	1.0		146	2022-10-14 13:01:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА-М"""
#Пирожное Киндер 30г	46.99	93.98	2.0	4	1	1.0		146	2022-10-14 13:01:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА-М"""
#Влажные салфетки 20шт	24.99	74.97	3.0	4	1	1.0		146	2022-10-14 13:01:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА-М"""
#Пирожное Киндер 30г	46.99	93.98	2.0	4	1	1.0		146	2022-10-14 13:01:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА-М"""
#Влажные салфетки 20шт	24.99	74.97	3.0	4	1	1.0		146	2022-10-14 13:01:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА-М"""
#Пирожное Киндер 30г	46.99	93.98	2.0	4	1	1.0		146	2022-10-14 13:01:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА-М"""
#Влажные салфетки 20шт	24.99	74.97	3.0	4	1	1.0		146	2022-10-14 13:01:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА-М"""
#Пирожное Киндер 30г	46.99	93.98	2.0	4	1	1.0		146	2022-10-14 13:01:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА-М"""
#Влажные салфетки 20шт	24.99	74.97	3.0	4	1	1.0		146	2022-10-14 13:01:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА-М"""
#Пирожное Киндер 30г	46.99	93.98	2.0	4	1	1.0		146	2022-10-14 13:01:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА-М"""
"Тоник ""Эвервесс"" 1.5 л."	117.0	117.0	1.0	4	1	6.0		512	2022-10-28 20:08:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРНОЕ СИЯНИЕ"""
"Сыр ""Чечил"" нитка 1 кг"	790.12	128.0	0.162	4	1	6.0		512	2022-10-28 20:08:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРНОЕ СИЯНИЕ"""
"Колбаски ""Чоризотти мини"" с горчицей 70 г."	108.0	108.0	1.0	4	1	6.0		512	2022-10-28 20:08:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРНОЕ СИЯНИЕ"""
"Напиток ""Эвервесс"" Лемон-лайм 1,5 л."	117.0	117.0	1.0	4	1	6.0		512	2022-10-28 20:08:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРНОЕ СИЯНИЕ"""
"Гренки ""Фишка"" Огурчики маринов. 120 гр"	68.0	68.0	1.0	4	1	6.0		512	2022-10-28 20:08:00	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРНОЕ СИЯНИЕ"""
