,address
0,"улица Егора Абакумова, 9"
1,"улица Талалихина, 2/1, корпус 1"
2,"Абельмановская улица, 6"
3,"Абрамцевская улица, 1"
4,"Абрамцевская улица, 9, корпус 1"
5,"Абрамцевская улица, 15, корпус 1"
6,"переулок Сивцев Вражек, 6/2"
7,"Авиамоторная улица, 8, строение 1"
8,"Авиамоторная улица, 8, строение 1"
9,"Авиамоторная улица, 8, строение 1"
10,"Авиамоторная улица, 47"
11,"Авиамоторная улица, 49/1"
12,"Авиамоторная улица, 51"
13,"улица Авиаторов, 14"
14,"улица Авиаторов, 16"
15,"улица Авиаторов, 18"
16,"Азовская улица, 3"
17,"Азовская улица, 4"
18,"Большая Академическая улица, 65"
19,"Филипповский переулок, 15/5"
20,"Алтайская улица, 33/7"
21,"Алтуфьевское шоссе, 14"
22,"Алтуфьевское шоссе, 14"
23,"Алтуфьевское шоссе, 42Б"
24,"Алтуфьевское шоссе, 56"
25,"Алтуфьевское шоссе, 56"
26,"Алтуфьевское шоссе, 102Б"
27,"улица Амундсена, 10"
28,"Анадырский проезд, 55"
29,"Ангарская улица, 1, корпус 2"
30,"Ангарская улица, 39"
31,"проспект Андропова, 17, корпус 2"
32,"проспект Андропова, 26"
33,"проспект Андропова, 30"
34,"проспект Андропова, 35А"
35,"проспект Андропова, 38, корпус 2"
36,"улица Арбат, 4, строение 1"
37,"улица Арбат, 4, строение 1"
38,"улица Арбат, 6/2"
39,"улица Арбат, 6/2"
40,"улица Арбат, 23, строение 1"
41,"улица Арбат, 23, строение 1"
42,"улица Арбат, 25/36"
43,"улица Арбат, 25/36"
44,"улица Арбат, 29"
45,"улица Арбат, 29"
46,"улица Арбат, 31"
47,"улица Арбат, 32"
48,"улица Арбат, 32"
49,"улица Арбат, 36/2, строение 1"
50,"улица Арбат, 36/2, строение 1"
51,"улица Арбат, 36/2, строение 1"
52,"улица Арбат, 36/2, строение 1"
53,"улица Арбат, 45/24"
54,"улица Арбат, 45/24"
55,"улица Арбат, 47/23"
56,"улица Арбат, 47/23"
57,"улица Артамонова, 7"
58,"Астраханский переулок, 1/15"
59,"Астраханский переулок, 5/9"
60,"Аэродромная улица, 9"
61,"Бабаевская улица, 3"
62,"улица Ивана Бабушкина, 15, корпус 1-2"
63,"улица Ивана Бабушкина, 17, корпус 1"
64,"Байкальская улица, 29"
65,"Байкальская улица, 31"
66,"Бакинская улица, 29"
67,"Балаклавский проспект, 48, корпус 1"
68,"Балаклавский проспект, 54"
69,"1-й Балтийский переулок, 3/25"
70,"улица Барклая, 16, корпус 1"
71,"Новая Басманная улица, 12, строение 2"
72,"Бауманская улица, 33/2, строение 1"
73,"Бауманская улица, 35/1"
74,"Татарская улица, 14"
75,"Башиловская улица, 3, корпус 1"
76,"Башиловская улица, 19"
77,"Башиловская улица, 21"
78,"Беговая улица, 7"
